id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
27316669,Bronx Apart,205820814,Luz,Bronx,Highbridge,40.83454,-73.92751,Private room,10,1,0,,,1,180
17952277,"Newly renovated, fully furnished room in Brooklyn",62685070,Katie,Brooklyn,Bushwick,40.69974,-73.91935,Private room,10,5,0,,,1,0
21869057,Spacious 2-bedroom Apt in Heart of Greenpoint,11967922,Vishanti & Jeremy,Brooklyn,Greenpoint,40.72421,-73.95364,Entire home/apt,10,1,93,7/1/2019,4.73,1,32
25839759,Gigantic Sunny Room in Park Slope-Private Backyard,167570251,Rachel,Brooklyn,Sunset Park,40.66242,-73.99464,Entire home/apt,10,1,14,10/28/2018,1.06,1,4
26496645,Room with a view,110049861,Martin,Brooklyn,Williamsburg,40.70959,-73.95693,Private room,10,1,0,,,1,83
28270998,"Charming, bright and brand new Bed-Stuy home",647528,Caterina,Brooklyn,Bedford-Stuyvesant,40.69508,-73.95164,Entire home/apt,10,3,5,7/2/2019,0.51,1,0
35642891,Beautiful room in Bushwick,268138154,Julio,Brooklyn,Bushwick,40.6964,-73.91898,Private room,10,1,2,6/18/2019,2,1,0
1620248,Large furnished 2 bedrooms- - 30 days Minimum,2196224,Sally,Manhattan,East Village,40.73051,-73.9814,Entire home/apt,10,30,0,,,4,137
17437106,Couch in Harlem Harvey Refugees only,33511962,Morgan,Manhattan,Harlem,40.81302,-73.95349,Shared room,10,1,0,,,1,0
17979764,Jen Apt,84497333,Jennifer,Manhattan,SoHo,40.72237,-73.99817,Private room,10,5,2,4/15/2017,0.07,1,0
18835820,"Quiet, Cozy UES Studio Near the Subway",52777892,Amy,Manhattan,Upper East Side,40.76844,-73.95341,Entire home/apt,10,3,10,10/22/2018,0.39,1,0
19415314,"Girls only, cozy room one block from Times Square",47336995,Mario,Manhattan,Hell's Kitchen,40.75812,-73.98935,Shared room,10,1,2,6/24/2017,0.08,1,0
24114389,"Very Spacious bedroom, steps from CENTRAL PARK.",180661875,Salim,Manhattan,Upper West Side,40.76844,-73.98333,Private room,10,1,2,4/23/2018,0.13,1,0
24412104,Cozy feel at home studio,91034542,Maureen,Manhattan,Kips Bay,40.74408,-73.97803,Private room,10,5,42,6/30/2019,2.87,1,2
18490141,IT'S SIMPLY CONVENIENT!,97001292,Maria,Queens,Jamaica,40.69085,-73.79916,Entire home/apt,10,1,43,6/12/2019,1.68,1,252
26235873,Voted #1 Airbnb In NYC,197169969,Maria,Queens,Jamaica,40.68939,-73.79886,Entire home/apt,10,2,22,7/6/2019,1.76,1,332
28071998,Cozy room in a three-bedroom House,47516406,Arthur,Queens,Woodhaven,40.69139,-73.86086,Private room,10,7,4,10/8/2018,0.41,2,180
16620607,Spacious and Modern 2 Bedroom Apartment,109725962,Erika,Brooklyn,Bushwick,40.68994,-73.91556,Entire home/apt,11,2,113,6/22/2019,3.86,1,261
35042058,"Big one bedroom apt, new and beautiful.",19342,Rivka,Manhattan,Upper West Side,40.799,-73.96315,Entire home/apt,11,7,0,,,1,273
27752128,sofa Bed And Breakfast,205706382,Peter,Queens,Maspeth,40.72514,-73.89845,Shared room,11,1,0,,,1,245
21981703,Beautiful and Charming 2 Bedroom in Brooklyn!,2066240,Marcella,Brooklyn,Crown Heights,40.67405,-73.94419,Entire home/apt,12,3,0,,,1,0
16927533,Studio with amazing view,3737986,Carolann,Manhattan,Financial District,40.70588,-74.0159,Entire home/apt,12,300,0,,,1,0
21893604,Private Bedroom in West Village/Chelsea,1144452,Dante,Manhattan,Chelsea,40.74045,-74.00047,Private room,12,3,8,6/7/2019,0.59,1,37
35612982,Luggage drop off ONLY! Close to LGA & JFK,108512889,Syed,Queens,Sunnyside,40.73954,-73.92095,Shared room,12,1,0,,,1,359
34870577,Happy Home 3,158178970,Raquel,Staten Island,Randall Manor,40.63136,-74.12559,Shared room,13,1,9,7/5/2019,5.51,3,8
18007671,Cute 1 bedroom basement apartment,73228035,Maimi,Brooklyn,East Flatbush,40.662,-73.93775,Private room,15,1,2,4/17/2017,0.07,2,0
22258432,Awesome designed shared room in beautiful Coliving,146345538,Sergii,Brooklyn,Bushwick,40.69329,-73.91328,Shared room,15,30,3,7/14/2018,0.16,5,344
29414633,private room,221574115,Ahmet,Brooklyn,Bensonhurst,40.61208,-74.00181,Shared room,15,10,0,,,2,0
36022650,Charming entire apartment in Hell's Kitchen,2967377,Aude,Manhattan,Hell's Kitchen,40.76279,-73.99463,Entire home/apt,15,2,0,,,1,139
26443106,"trip NYC - your Couch - clean, cheap, close to all",182488531,Kevin4,Queens,Elmhurst,40.73753,-73.87054,Shared room,15,1,19,6/20/2019,1.71,2,271
34577268,The duplex of city center,257474717,Kim,Queens,Flushing,40.75498,-73.83423,Entire home/apt,15,2,0,,,1,361
